Feature,Target
1.0,-141.4870742050414
2.0,-41.864532276535904
3.0,-33.82145165267695
4.0,-79.4277269221619
5.0,-14.878571166600914
6.0,42.20508568145384
7.0,191.068590121053
8.0,20.657781283183894
9.0,29.805039072276436
10.0,-2.4445915766167214
11.0,-185.82712152990413
12.0,4.548612455078312
13.0,14.473020994102644
14.0,256.12421124852864
15.0,-7.986096478112252
16.0,42.95473423336125
17.0,10.97882302947567
18.0,-100.6678037619532
19.0,132.33228145150207
20.0,95.19330326867741
21.0,101.15319470430468
22.0,-66.73874547947389
23.0,166.72943109360995
24.0,-111.38510627922808
25.0,89.93570938002702
26.0,252.84556258099786
27.0,-62.60363251306883
28.0,-17.42977296027719
29.0,52.01513650876413
30.0,-5.347565411619918
31.0,-107.01634310661325
32.0,58.05629748060274
33.0,-51.78037137261049
34.0,105.15924306351816
35.0,-30.69242342338032
36.0,219.79344050175393
37.0,-9.875329233623702
38.0,39.99384837943244
39.0,157.40172173696698
40.0,-43.08643164339553
41.0,106.79599346041294
42.0,218.91427542824283
43.0,-68.29832345612276
44.0,115.26338585323043
45.0,127.23827942484235
46.0,183.98228717773105
47.0,-13.2450710878082
48.0,-16.845661308427637
49.0,172.24415656168978
50.0,154.6984673233186
51.0,155.09928503458767
52.0,169.84482094969758
53.0,72.44752784215093
54.0,169.02536971610036
55.0,180.55724732986812
56.0,85.36485819736323
57.0,349.02745111447564
58.0,215.58329209117878
59.0,54.91965027973515
60.0,245.65536086338295
61.0,88.58183297726787
62.0,270.90846037424524
63.0,314.3095579007404
64.0,122.73176816482896
65.0,307.58761292443216
66.0,259.07809269364986
67.0,306.656015999449
68.0,420.87929826539477
69.0,213.51118839971295
70.0,169.62638356425106
71.0,163.09855703744768
72.0,177.61897150345618
73.0,258.7398290585896
74.0,307.9151974816644
75.0,308.9190799330019
76.0,371.5183249036024
77.0,297.7501891877907
78.0,449.5534077157317
79.0,285.5843166762044
80.0,592.0169166589619
81.0,390.6167347765006
82.0,250.4842443583718
83.0,237.3607501938888
84.0,401.04724152431857
85.0,338.9037214674149
86.0,441.2000494092092
87.0,425.7737624573545
88.0,379.91710873431276
89.0,311.3706281931595
90.0,253.51527753141355
91.0,369.3985047932979
92.0,508.8398794323473
93.0,453.8593744130204
94.0,317.2261221288012
95.0,468.5680925851182
96.0,499.3317379728837
97.0,382.06425637988673
98.0,495.57251059455285
99.0,495.8708718446
100.0,385.7029702169377
