Feature,Target
1.0,38.828736034828324
2.0,62.278452636823445
3.0,117.7551243175277
4.0,118.18020520349029
5.0,-121.51693679570911
6.0,-73.98250399151227
7.0,74.95352672086598
8.0,78.57859509122088
9.0,82.5547686306048
10.0,420.2731490654721
11.0,96.1390510693167
12.0,156.7565640180599
13.0,142.85017634932024
14.0,116.9391251305798
15.0,24.72307553596544
16.0,136.69692204932676
17.0,-11.832521453757181
18.0,46.518139325999115
19.0,26.513645217089653
20.0,88.18741393863226
21.0,316.5158566673509
22.0,-96.5265192591748
23.0,164.07601903745135
24.0,-60.47158711896516
25.0,59.05681342105665
26.0,220.69505969673662
27.0,123.87800190954628
28.0,15.425522207069392
29.0,57.51962907400319
30.0,202.95977489346757
31.0,68.01333682828634
32.0,168.84585895819748
33.0,158.00718399038138
34.0,94.6399652394183
35.0,380.64440893253254
36.0,236.19190223180112
37.0,-23.06425866576072
38.0,204.84543147694276
39.0,126.87135352316122
40.0,285.2433334796224
41.0,127.79792615672994
42.0,202.72635585331008
43.0,271.9487278980457
44.0,315.37551941701213
45.0,116.22035929442238
46.0,210.34987641590516
47.0,203.95546888390436
48.0,193.8670767426288
49.0,443.59542402810973
50.0,315.4981710960956
51.0,156.9616045664955
52.0,382.98619470547766
53.0,511.6656197012634
54.0,411.04652605511467
55.0,164.31300340459865
56.0,276.37659271337486
57.0,460.1411149186623
58.0,271.433053438122
59.0,395.43194281462286
60.0,437.4634053429337
61.0,276.35695284219173
62.0,372.24746439382005
63.0,63.323265993092775
64.0,294.361235866571
65.0,380.993184860684
66.0,291.0216818035151
67.0,588.6911303931636
68.0,292.1858622039368
69.0,401.04555133030163
70.0,468.07405772860915
71.0,609.1773289066116
72.0,331.61378488205605
73.0,601.7663752154959
74.0,496.82330610195874
75.0,408.0991348952049
76.0,563.010347426327
77.0,547.3559695573471
78.0,478.1783122841206
79.0,556.0302084990019
80.0,521.4686403138239
81.0,582.4017345251248
82.0,648.4130674521048
83.0,752.0516816145353
84.0,481.01845011731507
85.0,829.5533374656267
86.0,432.59122004774974
87.0,624.2714904964417
88.0,710.0317206484577
89.0,691.1491867735032
90.0,612.7300480179406
91.0,666.2377749642724
92.0,649.8999065341168
93.0,652.5135243055789
94.0,808.7602097021024
95.0,771.9515485965047
96.0,679.5090404739345
97.0,851.4099875433251
98.0,804.9299520876609
99.0,868.336211883896
100.0,862.9628841923612
